time_diff,time_sec
274.0,64190.0
-409.0,64190.0
-273.0,64190.0
104.0,64190.0
-97.0,56068.0
-356.0,85350.0
-113.0,56068.0
-104.0,32023.0
-442.0,85350.0
-276.0,51992.0
14.0,50559.0
335.0,80254.0
-145.0,71329.0
-160.0,54759.0
147.0,74249.0
398.0,65713.0
-120.0,73908.0
193.0,69946.0
-73.0,53169.0
300.0,65713.0
526.0,65713.0
143.0,65172.0
-144.0,73908.0
51.0,54193.0
363.0,53429.0
-63.0,65378.0
-301.0,74089.0
384.0,53261.0
448.0,68428.0
103.0,45193.0
166.0,70034.0
483.0,45518.0
574.0,65713.0
-325.0,74089.0
-552.0,83135.0
-247.0,58123.0
-292.0,59690.0
-312.0,43697.0
314.0,37188.0
-64.0,31311.0
83.0,42300.0
-63.0,37726.0
543.0,86164.0
-594.0,34109.0
244.0,48200.0
590.0,86164.0
-213.0,45721.0
-161.0,64814.0
69.0,77367.0
-71.0,56392.0
-478.0,63671.0
333.0,61655.0
-254.0,45721.0
-214.0,58123.0
-47.0,76634.0
-38.0,65277.0
104.0,77367.0
127.0,14987.0
-255.0,59690.0
-35.0,56392.0
187.0,48200.0
104.0,83873.0
-9.0,37726.0
161.0,71543.0
-348.0,43697.0
-231.0,75797.0
201.0,60151.0
-14.0,50470.0
17.0,39302.0
-566.0,64264.0
-568.0,82546.0
11.0,46007.0
-259.0,48731.0
-94.0,44100.0
-583.0,75316.0
57.0,52924.0
52.0,53536.0
-125.0,79552.0
71.0,53571.0
552.0,73650.0
510.0,78228.0
126.0,72121.0
224.0,35786.0
-43.0,53689.0
43.0,42471.0
23.0,75343.0
260.0,42147.0
331.0,43645.0
-43.0,50581.0
-15.0,54441.0
178.0,74695.0
467.0,82026.0
-235.0,73390.0
78.0,67500.0
272.0,69337.0
47.0,73227.0
-46.0,54049.0
-13.0,54049.0
521.0,58453.0
-22.0,44664.0
-543.0,43739.0
-332.0,43265.0
277.0,70533.0
-549.0,56875.0
-349.0,38763.0
61.0,67547.0
-183.0,47149.0
160.0,85250.0
-258.0,82371.0
101.0,3295.0
343.0,71932.0
505.0,68905.0
227.0,43697.0
-13.0,30459.0
82.0,42510.0
-598.0,55777.0
-477.0,24703.0
47.0,62944.0
-244.0,71759.0
-362.0,73127.0
-421.0,81594.0
-341.0,64920.0
303.0,80469.0
-62.0,77310.0
589.0,34590.0
275.0,32788.0
522.0,48039.0
-125.0,63399.0
427.0,68786.0
23.0,70502.0
87.0,49778.0
-77.0,40437.0
-80.0,22857.0
127.0,35090.0
-305.0,77814.0
137.0,77414.0
101.0,53324.0
-329.0,83884.0
211.0,83722.0
518.0,68905.0
45.0,86279.0
372.0,84891.0
152.0,53844.0
126.0,39390.0
209.0,25769.0
144.0,68633.0
-593.0,33584.0
340.0,34671.0
-508.0,74530.0
42.0,46353.0
