record_count,latlon_count,is_last_record
4.0,2.0,1.0
4.0,2.0,0.0
4.0,2.0,0.0
4.0,2.0,0.0
2.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
4.0,1.0,0.0
2.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
4.0,1.0,0.0
4.0,1.0,0.0
1.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
4.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
2.0,1.0,0.0
2.0,1.0,0.0
2.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
2.0,1.0,0.0
1.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
2.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
2.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
2.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
3.0,1.0,1.0
2.0,1.0,1.0
3.0,1.0,0.0
4.0,1.0,0.0
1.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
5.0,1.0,0.0
5.0,1.0,0.0
3.0,1.0,0.0
4.0,2.0,0.0
2.0,1.0,1.0
6.0,1.0,0.0
6.0,1.0,0.0
1.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,0.0
2.0,1.0,0.0
2.0,1.0,1.0
1.0,1.0,1.0
3.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,0.0
2.0,1.0,1.0
2.0,1.0,0.0
2.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
2.0,1.0,1.0
4.0,3.0,0.0
1.0,1.0,1.0
5.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
2.0,1.0,1.0
2.0,1.0,1.0
3.0,1.0,0.0
1.0,1.0,1.0
3.0,2.0,0.0
1.0,1.0,1.0
2.0,1.0,0.0
8.0,2.0,0.0
1.0,1.0,1.0
5.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
4.0,2.0,1.0
3.0,1.0,0.0
2.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
3.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,0.0
2.0,1.0,0.0
1.0,1.0,1.0
2.0,1.0,0.0
2.0,2.0,0.0
1.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
4.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
6.0,1.0,0.0
2.0,1.0,1.0
3.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
3.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
5.0,1.0,0.0
4.0,1.0,0.0
2.0,1.0,1.0
3.0,1.0,0.0
3.0,1.0,0.0
2.0,1.0,0.0
3.0,1.0,1.0
2.0,1.0,0.0
4.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
3.0,1.0,0.0
1.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,1.0
3.0,1.0,0.0
1.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
3.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
4.0,1.0,0.0
3.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
6.0,1.0,1.0
1.0,1.0,1.0
3.0,1.0,0.0
2.0,1.0,1.0
2.0,1.0,1.0
6.0,1.0,0.0
1.0,1.0,1.0
2.0,1.0,0.0
3.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
4.0,1.0,1.0
1.0,1.0,1.0
3.0,1.0,0.0
1.0,1.0,1.0
2.0,1.0,0.0
2.0,1.0,0.0
6.0,1.0,0.0
2.0,1.0,0.0
1.0,1.0,1.0
4.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
3.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
6.0,1.0,0.0
2.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
4.0,1.0,0.0
1.0,1.0,1.0
3.0,1.0,1.0
2.0,1.0,1.0
6.0,1.0,0.0
4.0,1.0,1.0
1.0,1.0,1.0
4.0,2.0,0.0
2.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,2.0,0.0
1.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
3.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
2.0,1.0,0.0
2.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,1.0
2.0,1.0,0.0
3.0,1.0,0.0
2.0,2.0,0.0
1.0,1.0,1.0
2.0,1.0,1.0
4.0,1.0,0.0
4.0,2.0,0.0
3.0,1.0,0.0
3.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
2.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
2.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
3.0,1.0,1.0
5.0,1.0,0.0
2.0,1.0,0.0
5.0,1.0,1.0
6.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
4.0,3.0,0.0
4.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
5.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
3.0,2.0,0.0
2.0,1.0,0.0
2.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
6.0,1.0,0.0
2.0,1.0,0.0
3.0,1.0,0.0
5.0,1.0,0.0
1.0,1.0,1.0
2.0,1.0,0.0
3.0,1.0,1.0
3.0,1.0,0.0
3.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
6.0,1.0,0.0
2.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
4.0,1.0,0.0
1.0,1.0,1.0
3.0,1.0,0.0
3.0,1.0,0.0
3.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
3.0,1.0,1.0
1.0,1.0,1.0
6.0,1.0,1.0
1.0,1.0,1.0
3.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
3.0,1.0,0.0
2.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,1.0
3.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
4.0,2.0,0.0
3.0,2.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,1.0,0.0
1.0,1.0,1.0
4.0,2.0,0.0
1.0,1.0,1.0
3.0,1.0,0.0
1.0,1.0,1.0
3.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
2.0,2.0,0.0
3.0,1.0,1.0
2.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
5.0,2.0,0.0
3.0,1.0,0.0
3.0,1.0,0.0
